BIN,BINLCINDEX,GSHIFT,PSINDEX,PHASE,BAND,MAG
1,3,19.539581275186844,21964,0.15962426100249685,u,20.951942288615342
1,3,19.539581275186844,21964,0.2052075760018486,g,19.551335459586568
1,3,19.539581275186844,21964,0.2711775760051385,g,19.6694638051872
1,3,19.539581275186844,21964,0.2743723490015322,g,19.677756859678546
1,3,19.539581275186844,21964,0.2833917730006147,g,19.686978224620365
1,3,19.539581275186844,21964,0.24976671459954017,g,19.634131485959614
1,3,19.539581275186844,21964,0.20981294280498178,i,19.320305901323888
1,3,19.539581275186844,21964,0.24870294280115404,i,19.3845717801735
1,3,19.539581275186844,21964,0.037344852001691964,i,19.14698505006628
1,3,19.539581275186844,21964,0.10354253540621666,i,19.23099486698082
1,3,19.539581275186844,21964,0.9449544446015345,i,19.009223824930654
1,3,19.539581275186844,21964,0.13742280300368317,z,19.271426156755656
1,3,19.539581275186844,21964,0.2825628030042209,z,19.357724964701
1,3,19.539581275186844,21964,0.018424712199317683,z,19.165268401696338
1,3,19.539581275186844,21964,0.0788347122048218,z,19.18801653262902
1,3,19.539581275186844,21964,0.9565161674020701,z,19.066591977354854
1,3,19.539581275186844,21964,0.11132862380605707,z,19.23374358161598
1,3,19.539581275186844,21964,0.28907091160551923,z,19.35600080431153
1,3,19.539581275186844,21964,0.7885828270060571,z,19.465315190579403
1,3,19.539581275186844,21964,0.09925339680621553,z,19.216985731051484
1,4,19.13728861401234,218194,0.9341860064024831,u,20.9494880888006
1,4,19.13728861401234,218194,0.9855760064030209,u,20.986881055377594
1,4,19.13728861401234,218194,0.25592638500049003,u,20.983118623400223
1,4,19.13728861401234,218194,0.30801638500517226,u,20.940672776388773
1,4,19.13728861401234,218194,0.1390698714034011,u,20.944411896694376
1,4,19.13728861401234,218194,0.19115987140080737,u,20.90708691486902
1,4,19.13728861401234,218194,0.38919296300265493,u,19.884044141179604
1,4,19.13728861401234,218194,0.9126913971992069,u,20.940652855124885
1,4,19.13728861401234,218194,0.9640813971997447,u,20.952298121610664
1,4,19.13728861401234,218194,0.1105842610012,u,20.94690639796866
1,4,19.13728861401234,218194,0.16266426100249687,u,20.900758369935115
1,4,19.13728861401234,218194,0.2082475760018485,g,19.4059399615603
1,4,19.13728861401234,218194,0.2742175760051384,g,19.4560886808879
1,4,19.13728861401234,218194,0.2774123490015321,g,19.471682282190837
1,4,19.13728861401234,218194,0.28643177300061473,g,19.468939349922664
1,4,19.13728861401234,218194,0.25280671459954007,g,19.433422271149087
1,4,19.13728861401234,218194,0.2128529428049819,i,19.081266872547914
1,4,19.13728861401234,218194,0.25174294280115417,i,19.117568574688534
1,4,19.13728861401234,218194,0.04038485200169184,i,19.07969649562382
1,4,19.13728861401234,218194,0.10658253540621665,i,19.083012092799535
1,4,19.13728861401234,218194,0.9479944446015345,i,19.058563897456278
1,4,19.13728861401234,218194,0.1404628030036832,z,19.064892765812964
1,4,19.13728861401234,218194,0.2856028030042208,z,19.15743938153428
1,4,19.13728861401234,218194,0.02146471219931767,z,19.025811196400383
1,4,19.13728861401234,218194,0.08187471220482179,z,19.02987484003787
1,4,19.13728861401234,218194,0.9595561674020701,z,18.98735840709011
1,4,19.13728861401234,218194,0.11436862380605706,z,19.060455894512952
1,4,19.13728861401234,218194,0.29211091160551916,z,19.166791655728407
1,4,19.13728861401234,218194,0.3389840080060571,z,19.069216992976845
1,4,19.13728861401234,218194,0.10229339680621541,z,19.06453428772794
